mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.48342065811157225,0.03952933794569007,0.018480634689331053,0.0034167655175767254,gini,3,-1,2,2,20,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': -1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20}",-0.288,-0.316,-0.294,-0.30466666666666664,-0.29533333333333334,-0.2996,0.00978524967035135,24,-0.297,-0.29583333333333334,-0.296,-0.297,-0.2845,-0.29406666666666664,0.004808095025868128
1.3102232456207275,0.19937019600465541,0.04721813201904297,0.015831999793740406,gini,3,-1,2,2,50,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': -1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-0.29733333333333334,-0.314,-0.312,-0.30666666666666664,-0.304,-0.3068,0.005938948653685356,36,-0.2996666666666667,-0.2848333333333333,-0.29883333333333334,-0.2941666666666667,-0.28683333333333333,-0.29286666666666666,0.0060739882559429975
2.661992597579956,0.2559720994871306,0.08888869285583496,0.026539533812358167,gini,3,-1,2,2,100,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': -1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.2833333333333333,-0.31266666666666665,-0.308,-0.2966666666666667,-0.302,-0.3005333333333333,0.010157865042528481,27,-0.2855,-0.286,-0.2995,-0.29083333333333333,-0.2901666666666667,-0.2904,0.005028363992835491
0.5252041339874267,0.0509074331887543,0.014137935638427735,0.0032418152908000714,gini,3,-1,2,3,20,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': -1, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 20}",-0.28933333333333333,-0.314,-0.31,-0.312,-0.306,-0.3062666666666667,0.008870425268522613,35,-0.2951666666666667,-0.282,-0.2966666666666667,-0.2945,-0.29683333333333334,-0.2930333333333333,0.005587088289579441
1.2337899208068848,0.11000381469046698,0.030530834197998048,0.006994869508730139,gini,3,-1,2,3,50,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': -1, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 50}",-0.2926666666666667,-0.312,-0.30266666666666664,-0.306,-0.30866666666666664,-0.3044,0.006621178142898731,31,-0.297,-0.2881666666666667,-0.294,-0.2925,-0.2875,-0.2918333333333333,0.0035792612521456267
2.6391718864440916,0.34872052872771603,0.07750258445739747,0.03034513484364387,gini,3,-1,2,3,100,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': -1, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 100}",-0.286,-0.31733333333333336,-0.292,-0.30333333333333334,-0.312,-0.3021333333333333,0.011771151175649747,29,-0.29483333333333334,-0.2871666666666667,-0.2831666666666667,-0.29333333333333333,-0.29333333333333333,-0.2903666666666667,0.00446392950959876
0.588267707824707,0.07727895760665046,0.023644685745239258,0.009115924580163338,gini,3,-1,3,2,20,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': -1, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 20}",-0.29,-0.31466666666666665,-0.29933333333333334,-0.30933333333333335,-0.31533333333333335,-0.3057333333333333,0.009730593221610108,34,-0.2936666666666667,-0.2856666666666667,-0.2955,-0.294,-0.29933333333333334,-0.29363333333333336,0.004462684792314545
1.3265698432922364,0.1112894629797686,0.03421096801757813,0.00959739878733987,gini,3,-1,3,2,50,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': -1, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 50}",-0.28,-0.32266666666666666,-0.30733333333333335,-0.30666666666666664,-0.30933333333333335,-0.3052,0.013884603783407789,33,-0.29383333333333334,-0.2886666666666667,-0.29183333333333333,-0.294,-0.29583333333333334,-0.2928333333333334,0.002438123139721293
2.3149818897247316,0.16575660857890406,0.05460233688354492,0.012512899040575046,gini,3,-1,3,2,100,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': -1, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",-0.2773333333333333,-0.31533333333333335,-0.308,-0.30133333333333334,-0.29933333333333334,-0.3002666666666666,0.012765230554561533,25,-0.28833333333333333,-0.2838333333333333,-0.29283333333333333,-0.29233333333333333,-0.2911666666666667,-0.2897,0.0033223151231901236
0.680894422531128,0.08560636604242992,0.02620987892150879,0.004919099903188965,gini,3,-1,3,3,20,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': -1, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 20}",-0.2853333333333333,-0.3233333333333333,-0.29,-0.30666666666666664,-0.306,-0.3022666666666667,0.013522655886408634,30,-0.30133333333333334,-0.29,-0.292,-0.29183333333333333,-0.2935,-0.2937333333333333,0.003958956091362141
