mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.41033153533935546,0.06639851855724574,0.01704864501953125,0.0037999978405375973,0.001,1,1,40,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 40}",-0.34,-0.3546666666666667,-0.3426666666666667,-0.376,-0.3546666666666667,-0.3536,0.01271639361873745,25,-0.35033333333333333,-0.37533333333333335,-0.338,-0.3416666666666667,-0.3396666666666667,-0.34900000000000003,0.013835541992355134
0.5097594261169434,0.07628252651802256,0.012667179107666016,0.003783793460335497,0.001,1,1,60,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 60}",-0.34,-0.3293333333333333,-0.3426666666666667,-0.376,-0.348,-0.34719999999999995,0.015631307615736372,19,-0.35033333333333333,-0.347,-0.338,-0.3416666666666667,-0.336,-0.34260000000000007,0.005380623673061605
0.6150201797485352,0.04577107169858885,0.012136125564575195,0.0023735069138400445,0.001,1,1,80,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 80}",-0.34,-0.3293333333333333,-0.3426666666666667,-0.376,-0.348,-0.34719999999999995,0.015631307615736372,19,-0.35033333333333333,-0.347,-0.338,-0.3416666666666667,-0.336,-0.34260000000000007,0.005380623673061605
0.3078956127166748,0.01034525632923525,0.011325836181640625,0.0006800504873307115,0.001,1,2,40,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 2, 'n_estimators': 40}",-0.34,-0.3546666666666667,-0.3426666666666667,-0.376,-0.3546666666666667,-0.3536,0.01271639361873745,25,-0.35033333333333333,-0.37533333333333335,-0.338,-0.3416666666666667,-0.3396666666666667,-0.34900000000000003,0.013835541992355134
0.44513688087463377,0.01096109039310129,0.010726165771484376,0.0006998959443764226,0.001,1,2,60,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 2, 'n_estimators': 60}",-0.34,-0.3293333333333333,-0.3426666666666667,-0.376,-0.348,-0.34719999999999995,0.015631307615736372,19,-0.35033333333333333,-0.347,-0.338,-0.3416666666666667,-0.336,-0.34260000000000007,0.005380623673061605
0.604768705368042,0.03875774902869841,0.011002874374389649,0.0005415135344240769,0.001,1,2,80,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 2, 'n_estimators': 80}",-0.34,-0.3293333333333333,-0.3426666666666667,-0.376,-0.348,-0.34719999999999995,0.015631307615736372,19,-0.35033333333333333,-0.347,-0.338,-0.3416666666666667,-0.336,-0.34260000000000007,0.005380623673061605
0.34886655807495115,0.05854047037941702,0.015703630447387696,0.004202011745023085,0.001,1,3,40,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 40}",-0.34,-0.3546666666666667,-0.3426666666666667,-0.376,-0.3546666666666667,-0.3536,0.01271639361873745,25,-0.35033333333333333,-0.37533333333333335,-0.338,-0.3416666666666667,-0.3396666666666667,-0.34900000000000003,0.013835541992355134
0.5557666778564453,0.08563215819631387,0.014387559890747071,0.0029792698542251447,0.001,1,3,60,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 60}",-0.34,-0.3293333333333333,-0.3426666666666667,-0.376,-0.348,-0.34719999999999995,0.015631307615736372,19,-0.35033333333333333,-0.347,-0.338,-0.3416666666666667,-0.336,-0.34260000000000007,0.005380623673061605
0.6020752906799316,0.04176832338076622,0.010850667953491211,0.0007307481298863646,0.001,1,3,80,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 80}",-0.34,-0.3293333333333333,-0.3426666666666667,-0.376,-0.348,-0.34719999999999995,0.015631307615736372,19,-0.35033333333333333,-0.347,-0.338,-0.3416666666666667,-0.336,-0.34260000000000007,0.005380623673061605
0.5541906356811523,0.01831646190846225,0.011691522598266602,0.0012701626264185297,0.001,2,1,40,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 40}",-0.31733333333333336,-0.31066666666666665,-0.31333333333333335,-0.30666666666666664,-0.29333333333333333,-0.30826666666666663,0.008236504112789606,10,-0.2976666666666667,-0.311,-0.2986666666666667,-0.30033333333333334,-0.30466666666666664,-0.30246666666666666,0.00489262483517566
0.8156824588775635,0.05424385612719845,0.011689043045043946,0.0011783013459659942,0.001,2,1,60,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 60}",-0.31733333333333336,-0.31066666666666665,-0.316,-0.30666666666666664,-0.29333333333333333,-0.3088,0.008624512868691328,13,-0.2976666666666667,-0.311,-0.2996666666666667,-0.30033333333333334,-0.30466666666666664,-0.3026666666666667,0.004751607914988112
1.2147907733917236,0.17269133021456465,0.0158383846282959,0.005446224583509983,0.001,2,1,80,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 80}",-0.31733333333333336,-0.31066666666666665,-0.316,-0.30666666666666664,-0.29333333333333333,-0.3088,0.008624512868691328,13,-0.2976666666666667,-0.311,-0.2996666666666667,-0.30033333333333334,-0.30466666666666664,-0.3026666666666667,0.004751607914988112
